date,day_of_week,meals_served,food_waste_lbs,post_holiday
2026-03-24,1,718,41.9,0
2026-03-25,2,693,38.5,0
2026-03-26,3,708,30.7,0
2026-03-27,4,716,34.9,0
2026-03-28,5,699,51.7,0
2026-03-31,1,627,40.8,0
2026-04-01,2,622,34.1,0
2026-04-02,3,639,35.5,0
2026-04-03,4,626,34.6,0
2026-04-04,5,699,57.7,0
2026-04-11,5,709,54.1,0
2026-04-14,1,652,46.8,0
2026-04-15,2,660,35.2,0
2026-04-16,3,626,35.4,0
2026-04-17,4,692,37.7,0
2026-04-18,5,686,52.9,0
2026-04-21,1,630,43.4,0
2026-04-22,2,630,36.4,0
2026-04-23,3,627,38.4,0
2026-04-24,4,677,34.7,0
2026-04-25,5,677,57.4,0
2026-04-28,1,649,42.9,0
2026-04-29,2,695,39.3,0
2026-04-30,3,713,34.3,0
2026-05-01,4,713,35.1,0
2026-05-02,5,691,56.4,0
2026-05-05,1,645,40.3,0
2026-05-06,2,651,34.3,0
2026-05-07,3,634,32.2,0
2026-05-08,4,682,34.8,0
2026-05-09,5,657,56.8,0
2026-05-12,1,640,42,0
2026-05-13,2,711,32.8,0
2026-05-14,3,641,34.6,0
2026-05-15,4,694,35.3,0
2026-05-16,5,698,54.2,0
2026-05-19,1,637,39.6,0
2026-05-20,2,627,36.9,0
2026-05-21,3,702,31.4,0
2026-05-22,4,719,42.2,0
2026-05-23,5,624,48,0
2026-05-26,1,663,82.5,1
2026-05-27,2,720,40.2,0
2026-05-28,3,702,37.4,0
2026-05-29,4,712,39,0
2026-05-30,5,718,56.1,0
2026-06-02,1,713,42.8,0
2026-06-03,2,652,42,0
2026-06-04,3,693,34.2,0
2026-06-05,4,629,35.3,0
2026-06-06,5,678,51.7,0
2026-06-09,1,648,46.2,0
2026-06-10,2,649,39.3,0
2026-06-11,3,654,38.1,0
2026-06-12,4,669,42.4,0
2026-06-13,5,708,60.1,0
2026-06-16,1,706,50.1,0
2026-06-17,2,638,40.2,0
2026-06-18,3,703,38.5,0
