date,bus_riders,car_riders,bike_walkers,total_students
2026-03-24,394,321,135,850
2026-03-25,391,292,167,850
2026-03-26,382,320,148,850
2026-03-27,367,344,139,850
2026-03-28,365,346,139,850
2026-03-31,376,331,143,850
2026-04-01,393,304,153,850
2026-04-02,362,349,139,850
2026-04-03,396,282,172,850
2026-04-04,367,334,149,850
2026-04-11,363,356,131,850
2026-04-14,395,310,145,850
2026-04-15,396,289,165,850
2026-04-16,366,315,169,850
2026-04-17,371,317,162,850
2026-04-18,365,348,137,850
2026-04-21,372,343,135,850
2026-04-22,363,355,132,850
2026-04-23,393,316,141,850
2026-04-24,385,293,172,850
2026-04-25,385,335,130,850
2026-04-28,371,321,158,850
2026-04-29,378,323,149,850
2026-04-30,369,326,155,850
2026-05-01,378,323,149,850
2026-05-02,368,340,142,850
2026-05-05,397,286,167,850
2026-05-06,389,295,166,850
2026-05-07,370,318,162,850
2026-05-08,361,333,156,850
2026-05-09,388,311,151,850
2026-05-12,371,330,149,850
2026-05-13,376,334,140,850
2026-05-14,366,333,151,850
2026-05-15,378,320,152,850
2026-05-16,377,310,163,850
2026-05-19,370,340,140,850
2026-05-20,385,332,133,850
2026-05-21,400,297,153,850
2026-05-22,372,336,142,850
2026-05-23,368,310,172,850
2026-05-26,394,311,145,850
2026-05-27,395,296,159,850
2026-05-28,369,344,137,850
2026-05-29,395,303,152,850
2026-05-30,395,291,164,850
2026-06-02,363,338,149,850
2026-06-03,381,321,148,850
2026-06-04,384,327,139,850
2026-06-05,385,292,173,850
2026-06-06,360,345,145,850
2026-06-09,382,338,130,850
2026-06-10,371,316,163,850
2026-06-11,386,325,139,850
2026-06-12,396,300,154,850
2026-06-13,372,312,166,850
2026-06-16,370,339,141,850
2026-06-17,398,314,138,850
2026-06-18,367,338,145,850
