date,total_lbs,recycled_lbs,landfill_lbs,compost_lbs
2026-03-24,452.7,115.9,270.5,66.4
2026-03-25,352.1,102.7,200.8,48.6
2026-03-26,417.2,95.6,272.6,49
2026-03-27,451.8,118.9,271.9,60.9
2026-03-28,349.3,90.8,216.6,41.8
2026-03-31,430.1,103.4,274.6,52.1
2026-04-01,456.3,106,301.6,48.7
2026-04-02,433.7,109.8,275.9,48.1
2026-04-03,432.7,128.9,242.8,60.9
2026-04-04,410.3,119.8,246.6,43.8
2026-04-11,342.7,76.8,225.1,40.8
2026-04-14,368.8,110.6,215.1,43.1
2026-04-15,420.5,104.8,265.1,50.6
2026-04-16,433.3,97.5,287.3,48.5
2026-04-17,369.7,110.4,209.1,50.2
2026-04-18,449.6,102.9,283.3,63.4
2026-04-21,355,98.3,208.5,48.2
2026-04-22,402.2,108.8,241.7,51.7
2026-04-23,340.9,84.5,209.2,47.3
2026-04-24,373.9,101.3,226.9,45.6
2026-04-25,458.5,113.6,293.3,51.5
2026-04-28,434.5,113.4,263.5,57.6
2026-04-29,372,83.2,234.2,54.6
2026-04-30,394.5,108.4,238.4,47.6
2026-05-01,451.9,103.3,280.5,68.1
2026-05-02,371.3,84.8,242.8,43.7
2026-05-05,456.3,104.1,298,54.2
2026-05-06,343.5,82.1,217.3,44
2026-05-07,403,93.2,253.1,56.7
2026-05-08,414.1,109.3,250.5,54.3
2026-05-09,381.7,114.5,208,59.3
2026-05-12,357.9,87,229.3,41.6
2026-05-13,459.8,113.7,299.9,46.2
2026-05-14,450.3,103.1,297.1,50.1
2026-05-15,426.3,108.8,274.9,42.7
2026-05-16,424.5,98.7,261,64.8
2026-05-19,448,109.4,286.6,51.9
2026-05-20,369.6,110.7,203.3,55.6
2026-05-21,440.9,105.7,272,63.2
2026-05-22,405,103,259.7,42.4
2026-05-23,397.7,109.8,246.5,41.4
2026-05-26,412.4,102.8,261.8,47.9
2026-05-27,419.8,105.5,270.2,44.1
2026-05-28,346.5,88.8,214,43.8
2026-05-29,400.9,102.7,239.2,59.1
2026-05-30,374.3,108.6,215.2,50.5
2026-06-02,407.5,93.8,263.1,50.6
2026-06-03,353.5,100.7,216.9,35.9
2026-06-04,381,112.6,221.5,46.8
2026-06-05,429.3,101,259.9,68.4
2026-06-06,348.7,98.4,214.5,35.8
2026-06-09,366.4,107.9,200.3,58.2
2026-06-10,367.7,88.6,241.9,37.2
2026-06-11,459.8,124.5,281.9,53.5
2026-06-12,378.3,112.8,220.1,45.4
2026-06-13,361,87.3,226.3,47.4
2026-06-16,354.5,94.9,211.4,48.2
2026-06-17,440.7,121.4,271.9,47.3
2026-06-18,456.7,124.9,271.8,60
