date,building,gallons
2026-03-24,Main Building,5405.9
2026-03-24,Gym,1817.5
2026-03-24,Cafeteria,2876.8
2026-03-25,Main Building,5035.2
2026-03-25,Gym,1785.7
2026-03-25,Cafeteria,3060.2
2026-03-26,Main Building,4960.1
2026-03-26,Gym,1934.6
2026-03-26,Cafeteria,2677.5
2026-03-27,Main Building,4753.1
2026-03-27,Gym,2027.9
2026-03-27,Cafeteria,2640.5
2026-03-28,Main Building,5504.8
2026-03-28,Gym,2082.1
2026-03-28,Cafeteria,2910.9
2026-03-31,Main Building,5616
2026-03-31,Gym,1945.6
2026-03-31,Cafeteria,2834.8
2026-04-01,Main Building,5303.6
2026-04-01,Gym,2080.7
2026-04-01,Cafeteria,2610.6
2026-04-02,Main Building,5618.4
2026-04-02,Gym,1745.6
2026-04-02,Cafeteria,3057.8
2026-04-03,Main Building,4989.8
2026-04-03,Gym,1811.9
2026-04-03,Cafeteria,2549.5
2026-04-04,Main Building,5516.6
2026-04-04,Gym,1820.2
2026-04-04,Cafeteria,3058.2
2026-04-11,Main Building,4976.5
2026-04-11,Gym,2049.8
2026-04-11,Cafeteria,2884.1
2026-04-14,Main Building,4826.6
2026-04-14,Gym,1868.7
2026-04-14,Cafeteria,2811.7
2026-04-15,Main Building,5124.2
2026-04-15,Gym,1855.2
2026-04-15,Cafeteria,3065.8
2026-04-16,Main Building,5096.7
2026-04-16,Gym,1750.6
2026-04-16,Cafeteria,2915.3
2026-04-17,Main Building,4961
2026-04-17,Gym,1852.9
2026-04-17,Cafeteria,2662.9
2026-04-18,Main Building,5269.6
2026-04-18,Gym,1762.4
2026-04-18,Cafeteria,2859.6
2026-04-21,Main Building,5124.6
2026-04-21,Gym,1842
2026-04-21,Cafeteria,2714.9
2026-04-22,Main Building,5447.5
2026-04-22,Gym,1762.6
2026-04-22,Cafeteria,2532.7
2026-04-23,Main Building,4869.6
2026-04-23,Gym,1757.2
2026-04-23,Cafeteria,2933.6
2026-04-24,Main Building,5163.7
2026-04-24,Gym,2008.7
2026-04-24,Cafeteria,2688.2
2026-04-25,Main Building,5159.7
2026-04-25,Gym,1902.3
2026-04-25,Cafeteria,2934.7
2026-04-28,Main Building,5162.4
2026-04-28,Gym,2028.8
2026-04-28,Cafeteria,3005.7
2026-04-29,Main Building,5457.5
2026-04-29,Gym,1822.3
2026-04-29,Cafeteria,2956
2026-04-30,Main Building,5703.8
2026-04-30,Gym,1992.3
2026-04-30,Cafeteria,2941.5
2026-05-01,Main Building,4951.6
2026-05-01,Gym,1994
2026-05-01,Cafeteria,2614.6
2026-05-02,Main Building,5500.5
